manufacturer,model_name,screen_size_inches,screen,cpu,ram_gb,storage,os,os_version,weight_kg,price_euros,gpu_manufacturer,cpu_manufacturer,screen_width_px,screen_high_px,cpu_speed_ghz
Asus,ZenBook UX430UA,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.25,1099.0,Intel,Intel,1920,1080,1.8
HP,EliteBook Folio,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8,512GB SSD,Windows,10,0.97,2014.0,Intel,Intel,3840,2160,1.2
Asus,X541NA (N3350/4GB/1TB/FHD/W10),15.6,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Windows,10,2.0,344.0,Intel,Intel,1920,1080,1.1
Micro-Star International,GE72MVR 7RG,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.9,2029.0,Nvidia,Intel,1920,1080,2.8
Acer,Aspire A315-51,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.1,447.0,Intel,Intel,1366,768,2.0
Dell,Inspiron 5577,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Windows,10,2.56,1249.26,Nvidia,Intel,1920,1080,2.8
Dell,Inspiron 7567,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB Hybrid,Windows,10,2.62,899.0,Nvidia,Intel,1920,1080,2.8
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Windows,10,1.9,498.0,Intel,Intel,1366,768,2.5
Micro-Star International,GE73VR 7RE,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.8,1890.0,Nvidia,Intel,1920,1080,2.8
HP,EliteBook 840,14.0,Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4,256GB SSD,Windows,10,1.48,1082.0,Intel,Intel,1920,1080,2.7
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,6,256GB SSD,Windows,10,1.91,619.0,AMD,Intel,1920,1080,1.6
Lenovo,Yoga 520-14IKB,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4,256GB SSD,Windows,10,1.74,629.0,Intel,Intel,1920,1080,2.4
Asus,ZenBook Flip,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.1,1315.0,Intel,Intel,1920,1080,1.6
Dell,Inspiron 5579,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.56,1049.0,Intel,Intel,1920,1080,1.8
Toshiba,Satellite Pro,15.6,1366x768,Intel Core i3 6006U 2.2GHz,4,500GB HDD,Windows,10,2.1,447.0,Intel,Intel,1366,768,2.2
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,Windows,10,2.03,403.0,AMD,AMD,1366,768,3.0
Acer,Aspire A517-51G,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Windows,10,3.0,805.0,Nvidia,Intel,1920,1080,1.6
Dell,Inspiron 3576,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.13,728.0,AMD,Intel,1920,1080,1.6
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD,Windows,10,2.5,1079.0,Nvidia,Intel,1920,1080,2.8
Acer,Aspire A315-31,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1TB HDD,Windows,10,2.1,348.0,Intel,Intel,1366,768,1.1
Micro-Star International,GE63VR 7RE,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.4,1799.0,Nvidia,Intel,1920,1080,2.8
Acer,Aspire 3,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Windows,10,2.1,363.51,Intel,Intel,1366,768,1.1
Dell,Inspiron 5577,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.56,1060.49,Nvidia,Intel,1920,1080,2.8
Acer,Aspire A517-51G,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,3.0,854.0,Nvidia,Intel,1920,1080,1.6
HP,ProBook 430,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Windows,10,1.49,754.0,Intel,Intel,1920,1080,1.6
Huawei,MateBook X,13.0,IPS Panel Full HD 2160x1440,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.05,1349.0,Intel,Intel,2160,1440,2.5
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,2TB HDD,Windows,10,2.71,699.0,AMD,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-15AST,15.6,1366x768,AMD A6-Series 9220 2.9GHz,4,500GB HDD,No OS,Version Unknown,2.2,309.0,AMD,AMD,1366,768,2.9
Toshiba,Satellite Pro,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,500GB HDD,Windows,10,2.0,489.0,Intel,Intel,1366,768,2.4
HP,ProBook 470,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.5,923.0,Nvidia,Intel,1920,1080,1.6
Dell,Inspiron 3567,15.6,1366x768,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Windows,10,2.3,459.0,Intel,Intel,1366,768,2.4
Acer,Aspire A315-51,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,Windows,10,2.1,449.0,Intel,Intel,1366,768,2.0
Micro-Star International,GT80S 6QF-074US,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,32,512GB SSD +  1TB HDD,Windows,10,4.4,2799.0,Nvidia,Intel,1920,1080,2.9
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,128GB SSD +  1TB HDD,Windows,10,1.9,813.0,AMD,Intel,1920,1080,2.5
HP,Spectre x360,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.29,1499.0,Intel,Intel,3840,2160,1.6
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,Linux,Version Unknown,2.02,1049.0,AMD,Intel,1920,1080,1.8
Dell,XPS 13,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.23,1399.0,Intel,Intel,1920,1080,1.6
Lenovo,Yoga 920-13IKB,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.4,1849.0,Intel,Intel,3840,2160,1.8
Toshiba,Satellite Pro,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,128GB SSD,Windows,10,2.0,793.0,Intel,Intel,1366,768,2.5
Xiaomi,Mi Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,No OS,Version Unknown,1.95,1199.0,Nvidia,Intel,1920,1080,1.6
Dell,Inspiron 7773,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,2.77,1549.0,Nvidia,Intel,1920,1080,1.8
Dell,XPS 15,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Windows,10,2.06,2397.0,Nvidia,Intel,3840,2160,2.8
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,No OS,Version Unknown,2.4,779.0,Nvidia,Intel,1920,1080,2.5
Acer,Swift 7,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8,256GB SSD,Windows,10,1.12,989.0,Intel,Intel,1920,1080,1.2
Dell,Inspiron 5770,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.8,1085.0,AMD,Intel,1920,1080,1.8
Lenovo,Thinkpad Yoga,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16,1TB SSD,Windows,10,1.42,2824.0,Intel,Intel,2560,1440,2.7
Vero,K147 (N3350/4GB/32GB/FHD/W10),14.0,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,32GB Flash Storage,Windows,10,1.3,260.0,Intel,Intel,1920,1080,1.1
Xiaomi,Mi Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,No OS,Version Unknown,1.3,999.9,Nvidia,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-17IKBR,17.3,1600x900,Intel Core i5 8250U 1.6GHz,8,256GB SSD,No OS,Version Unknown,2.8,698.0,Nvidia,Intel,1600,900,1.6
Dell,Inspiron 5379,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Windows,10,1.62,839.0,Intel,Intel,1920,1080,1.8
HP,ProBook 470,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Windows,10,2.5,914.0,Nvidia,Intel,1920,1080,1.6
Razer,Blade Pro,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32,1TB SSD,Windows,10,3.49,6099.0,Nvidia,Intel,3840,2160,2.9
HP,ProBook 430,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,512GB SSD,Windows,10,1.49,959.0,Intel,Intel,1920,1080,1.6
HP,Omen 17-W295,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,3.35,1379.0,Nvidia,Intel,1920,1080,2.8
HP,Probook 470,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.5,1045.0,Nvidia,Intel,1920,1080,1.8
Dell,Inspiron 7577,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Windows,10,2.65,1845.0,Nvidia,Intel,3840,2160,2.8
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),15.6,1366x768,Intel Core i5 6200U 2.3GHz,4,128GB SSD,Windows,10,2.1,493.0,Intel,Intel,1366,768,2.3
Acer,Aspire E5-576G,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Windows,10,2.23,742.0,Nvidia,Intel,1920,1080,2.7
Lenovo,Legion Y720-15IKB,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Windows,10,3.2,1749.0,Nvidia,Intel,1920,1080,2.8
Dell,Precision 7520,15.6,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,16,256GB SSD +  1TB HDD,Windows,10,2.8,3055.0,Nvidia,Intel,3840,2160,3.0
Lenovo,Legion Y520-15IKBN,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,No OS,Version Unknown,2.4,1398.0,Nvidia,Intel,1920,1080,2.8
Dell,Inspiron 3567,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,6,1TB HDD,Windows,10,2.3,439.0,Intel,Intel,1366,768,2.4
Dell,XPS 13,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.21,1949.0,Intel,Intel,3840,2160,1.8
Dell,XPS 13,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.2,1449.0,Intel,Intel,1920,1080,1.8
Lenovo,IdeaPad 320-15IKBN,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,2.2,597.0,Intel,Intel,1366,768,2.5
Acer,Aspire 7,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Linux,Version Unknown,2.4,779.0,Nvidia,Intel,1920,1080,2.8
Asus,ROG GL703VD-GC028T,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,2.9,1407.0,Nvidia,Intel,1920,1080,2.8
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,No OS,Version Unknown,2.1,349.0,Intel,Intel,1920,1080,2.0
Lenovo,IdeaPad 320-15IKBN,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,No OS,Version Unknown,2.2,549.0,Intel,Intel,1920,1080,2.5
Huawei,MateBook X,13.0,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8,512GB SSD,Windows,10,1.05,1499.0,Intel,Intel,2160,1440,2.7
Dell,Inspiron 5370,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.4,931.88,AMD,Intel,1920,1080,1.8
Lenovo,IdeaPad 320-17IKB,17.3,1600x900,Intel Core i5 7200U 2.5GHz,8,1TB HDD,No OS,Version Unknown,2.8,589.0,Nvidia,Intel,1600,900,2.5
HP,Probook 440,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,1.63,1031.0,Nvidia,Intel,1920,1080,1.8
Dell,Latitude 5490,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.6,1149.0,Intel,Intel,1920,1080,1.6
Dell,Inspiron 5379,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.62,1279.0,Intel,Intel,1920,1080,1.8
Dell,Inspiron 3576,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Linux,Version Unknown,2.2,677.35,AMD,Intel,1920,1080,1.6
Lenovo,Yoga 520-14IKB,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.74,899.0,Intel,Intel,1920,1080,1.6
Toshiba,Portege Z30-C-16L,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256GB SSD,Windows,10,1.2,1363.0,Intel,Intel,1920,1080,2.5
HP,ProBook 450,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Windows,10,2.1,794.0,Intel,Intel,1920,1080,1.6
Dell,Alienware 17,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,4.42,2456.34,Nvidia,Intel,1920,1080,2.8
Acer,Aspire E5-576G,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,2.2,832.0,Nvidia,Intel,1920,1080,2.7
Dell,Inspiron 5567,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,1TB HDD,Windows,10,2.3,859.01,AMD,Intel,1920,1080,2.7
Asus,Vivobook X541UV-DM1217T,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,2.0,769.0,Nvidia,Intel,1920,1080,2.5
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD +  500GB HDD,Windows,10,2.69,891.0,Nvidia,Intel,1920,1080,2.5
HP,ZBook 15u,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,Windows,10,1.9,1269.0,AMD,Intel,1920,1080,2.7
Asus,Pro P2540UA-XO0198T,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Windows,10,2.37,398.99,Intel,Intel,1366,768,2.4
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),15.6,1366x768,AMD E-Series 9000e 1.5GHz,4,500GB HDD,Windows,10,2.1,330.0,AMD,AMD,1366,768,1.5
Lenovo,Legion Y720-15IKB,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,3.2,1499.0,Nvidia,Intel,1920,1080,2.8
Dell,Vostro 5468,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.6,859.0,Intel,Intel,1920,1080,2.5
Acer,Aspire R7,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8,256GB SSD,Windows,10,1.6,689.0,Intel,Intel,1920,1080,2.3
Dell,Inspiron 5567,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,256GB SSD,Linux,Version Unknown,2.36,899.0,AMD,Intel,1920,1080,2.7
Acer,Aspire A315-51,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Linux,Version Unknown,2.1,390.0,Intel,Intel,1366,768,2.0
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4,128GB SSD +  1TB HDD,Windows,10,2.2,575.0,AMD,AMD,1920,1080,2.5
Asus,ROG G703VI-E5062T,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32,512GB SSD +  1TB HDD,Windows,10,4.7,3890.0,Nvidia,Intel,1920,1080,2.9
Acer,Nitro AN515-51,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Windows,10,2.5,846.0,Nvidia,Intel,1920,1080,2.5
Lenovo,IdeaPad 320-15ISK,15.6,1366x768,Intel Core i3 6006U 2GHz,8,128GB SSD,Windows,10,2.2,589.0,Intel,Intel,1366,768,2.0
Asus,VivoBook Pro,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.1,1145.0,Nvidia,Intel,1920,1080,1.8
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,128GB SSD +  1TB HDD,No OS,Version Unknown,2.69,889.0,Nvidia,Intel,1920,1080,2.7
Dell,Inspiron 5577,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Windows,10,2.56,879.0,Nvidia,Intel,1920,1080,2.5
Lenovo,Yoga 910-13IKB,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.38,1079.0,Intel,Intel,1920,1080,2.7
Dell,Inspiron 5570,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  2TB HDD,Windows,10,2.2,985.0,AMD,Intel,1920,1080,1.8
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Windows,10,2.04,559.0,Intel,Intel,1366,768,2.5
Asus,Rog G701VIK-BA060T,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16,256GB SSD,Windows,10,3.6,2999.0,Nvidia,Intel,1920,1080,2.9
HP,ProBook 430,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Windows,10,1.49,675.0,Intel,Intel,1920,1080,1.6
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,512GB SSD,macOS,X,1.37,2040.0,Intel,Intel,2560,1600,3.1
Dell,Inspiron 5579,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Windows,10,2.08,819.0,Intel,Intel,1920,1080,1.8
Asus,ROG G752VSK-GC493T,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Windows,10,4.3,1799.0,Nvidia,Intel,1920,1080,2.8
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,Windows,10,1.68,469.0,AMD,AMD,1366,768,3.0
Lenovo,Yoga 920-13IKB,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Windows,10,1.37,1849.0,Intel,Intel,1920,1080,1.8
Acer,Aspire 5,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,256GB SSD,Windows,10,3.0,702.0,Nvidia,Intel,1920,1080,2.7
Dell,Vostro 5370,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.41,949.0,Intel,Intel,1920,1080,1.6
HP,15-BW094nd (A6-9220/8GB/128GB/W10),15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8,128GB SSD,Windows,10,1.91,445.9,AMD,AMD,1366,768,2.5
HP,Envy 17-U275cl,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,1TB HDD,Windows,10,2.9,1059.0,Nvidia,Intel,1920,1080,1.8
Micro-Star International,GT73EVR 7RE,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD +  1TB HDD,Windows,10,4.14,2499.0,Nvidia,Intel,1920,1080,2.8
Lenovo,Yoga 720-15IKB,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512GB SSD,Windows,10,2.0,1699.0,Nvidia,Intel,1920,1080,2.8
Dell,Inspiron 5770,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Windows,10,2.8,1142.0,AMD,Intel,1920,1080,1.8
Lenovo,IdeaPad 320-15ISK,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,No OS,Version Unknown,2.2,444.0,Intel,Intel,1920,1080,2.0
HP,ProBook 450,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500GB HDD,Windows,10,2.1,722.0,Intel,Intel,1920,1080,1.6
Dell,Vostro 3568,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Windows,10,2.18,657.0,Intel,Intel,1920,1080,2.5
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Windows,10,2.24,565.0,AMD,Intel,1920,1080,2.5
Dell,Inspiron 5579,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,2.67,799.0,Intel,Intel,1920,1080,1.6
Asus,ZenBook Flip,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD +  512GB SSD,Windows,10,1.1,1499.0,Intel,Intel,1920,1080,1.8
Lenovo,IdeaPad 320-15IKBN,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,No OS,Version Unknown,2.2,467.0,Intel,Intel,1920,1080,2.5
HP,Probook 470,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Windows,10,2.5,1018.0,Nvidia,Intel,1920,1080,1.8
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,2.05,880.0,Intel,Intel,1920,1080,1.8
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8,512GB SSD,macOS,X,1.37,1958.9,Intel,Intel,2560,1600,2.9
Asus,Rog Strix,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,256GB SSD +  1TB HDD,Windows,10,3.2,1549.0,AMD,AMD,1920,1080,3.0
Dell,Inspiron 3576,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Linux,Version Unknown,2.14,735.07,AMD,Intel,1920,1080,1.8
Lenovo,ThinkPad X1,14.0,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16,512GB SSD,Windows,10,1.36,2499.0,Intel,Intel,2560,1440,2.6
Toshiba,Satellite Pro,15.6,1366x768,Intel Core i7 6500U 2.5GHz,8,500GB HDD,Windows,10,2.2,812.0,Nvidia,Intel,1366,768,2.5
Dell,Inspiron 5567,15.6,1366x768,Intel Core i7 7500U 2.7GHz,12,1TB HDD,Windows,10,2.3,713.07,Intel,Intel,1366,768,2.7
Dell,Inspiron 5770,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Linux,Version Unknown,2.8,1099.0,AMD,Intel,1920,1080,1.8
Acer,Aspire A515-51G,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Windows,10,2.2,745.0,Nvidia,Intel,1920,1080,1.8
Lenovo,IdeaPad 320-17ISK,17.3,1600x900,Intel Core i3 6006U 2GHz,4,1TB HDD,Windows,10,2.8,489.0,Intel,Intel,1600,900,2.0
Lenovo,IdeaPad 320-17IKBR,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,2TB HDD,No OS,Version Unknown,2.8,849.0,Nvidia,Intel,1920,1080,1.8
Lenovo,IdeaPad 320-17IKB,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6,128GB SSD +  1TB HDD,Windows,10,2.8,859.0,Nvidia,Intel,1600,900,2.7
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4,1TB HDD,Linux,Version Unknown,2.25,428.0,AMD,Intel,1920,1080,2.0
Lenovo,Legion Y520-15IKBN,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Windows,10,2.5,829.0,Nvidia,Intel,1920,1080,2.5
Lenovo,Ideapad 320-15IKBN,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Windows,10,2.2,579.0,Intel,Intel,1920,1080,2.5
Acer,Aspire A517-51G,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Windows,10,3.0,951.0,Nvidia,Intel,1920,1080,1.8
Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,1TB HDD,Windows,10,2.15,659.0,Intel,Intel,1920,1080,2.7
Lenovo,Thinkpad T570,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,1.95,1097.0,Intel,Intel,1920,1080,2.7
Asus,VivoBook S15,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Windows,10,1.7,977.0,Nvidia,Intel,1920,1080,2.5
