organization_id,name,website,country,description,founded,industry,number_of_employees
E60D6e153aa2e78,Cisneros-Parks,http://www.gutierrez.com/,Pakistan,Face-to-face heuristic superstructure,1992,Printing,7884
e90aad8ecC4D7Ec,Mckee Inc,http://fields.biz/,Tanzania,Quality-focused bifurcated service-desk,1981,Package / Freight Delivery,7878
60ABfeaf173aDba,Mckinney PLC,https://www.sampson.org/,Guadeloupe,Mandatory multimedia product,2001,Hospital / Health Care,7846
b0e440Da717EFF9,Joseph-Stein,https://www.moses-mccarthy.org/,French Southern Territories,Innovative uniform structure,1990,Defense / Space,7825
AFEE981FbACdBE8,"Novak, Petty and Mcintyre",http://www.foley.biz/,British Indian Ocean Territory (Chagos Archipelago),Decentralized holistic interface,1979,Wireless,7809
F45eF42F481bEE8,"Goodwin, Callahan and Pratt",http://www.hahn.com/,Nauru,Innovative multi-state model,1998,Architecture / Planning,7808
487110e58a9b49f,Hanna PLC,https://www.navarro.com/,French Southern Territories,Multi-channeled maximized circuit,1987,Sports,7806
18640d896C7CBfA,Green-Frye,http://mcfarland.biz/,Uzbekistan,Customizable directional monitoring,2011,Computer Networking,7776
f3ef8FF6A07463C,Little Ltd,https://kramer.net/,South Africa,Sharable coherent leverage,2016,Publishing Industry,7775
4BEaCCfEc62bbD7,Vaughan LLC,http://www.cantu.info/,Dominican Republic,Fundamental bifurcated support,2015,Banking / Mortgage,7755
dFfc100FCCdc16D,"Parker, Garza and Mcintosh",https://www.luna.com/,American Samoa,Optimized systematic alliance,1972,Glass / Ceramics / Concrete,7720
4F0Ce0D87b8de03,Daniels Ltd,https://collier.com/,Togo,Advanced zero tolerance policy,2000,Mining / Metals,7702
A68BBe2bDba36E4,"Harrell, Wagner and Snyder",https://molina-dodson.com/,Hungary,Ameliorated asymmetric circuit,2018,Education Management,7679
4d7bb84fD745aEE,"Flowers, Poole and Rose",http://www.clay.info/,Seychelles,Phased full-range hub,1994,Wholesale,7678
d5A9ACE6035F9ce,"Baldwin, Warner and Russell",http://www.hoffman.biz/,Jersey,Persistent disintermediate capacity,1997,Legal Services,7675
6aA8Ef34dCeEd25,"Holt, Morris and Delgado",https://www.skinner.com/,Argentina,Innovative stable Local Area Network,1999,Translation / Localization,7672
aa873bA4aEf3c16,"Case, Avery and Zuniga",http://www.parker-dalton.com/,Monaco,Triple-buffered asynchronous flexibility,1991,Entertainment / Movie Production,7671
d2eF4c24dA2D2A7,Espinoza LLC,http://www.marsh.com/,Armenia,Versatile regional database,1979,Law Practice / Law Firms,7668
0B19F0056c68E6F,Holland Group,https://oliver-figueroa.com/,Estonia,Centralized bandwidth-monitored knowledgebase,1979,Paper / Forest Products,7664
eDBDABFD62CBea7,"Clements, Hahn and Stark",https://richards.com/,Cambodia,Streamlined mission-critical leverage,1975,Hospitality,7663
aA31e3eCbfB4bB1,"Payne, Blevins and Bonilla",http://carter.com/,Ireland,Intuitive methodical projection,2012,Alternative Medicine,7649
6f8e7fE3ccFCB7C,Griffin and Sons,http://vasquez.net/,Australia,Distributed intangible algorithm,2000,Other Industry,7640
e5B3afFDE7c8b0B,Hardy Ltd,http://www.howe-soto.com/,Saint Vincent and the Grenadines,Reduced modular hierarchy,2009,Executive Office,7638
8d3D540Be95fb0e,Griffin-Mahoney,http://www.knapp.org/,United States Virgin Islands,Multi-channeled didactic open system,1991,Mining / Metals,7637
b02FD60CD7A494d,Parks Group,http://larsen.org/,Saint Vincent and the Grenadines,Open-architected background pricing structure,2011,Insurance,7625
dc421A3a9B6D50d,Beltran Group,https://www.mosley-nolan.com/,Grenada,Open-architected next generation artificial intelligence,1997,Program Development,7613
9B19A8FaE4A1EED,Mclean-Mccarty,https://yates.com/,Qatar,Down-sized directional matrices,1978,Transportation,7610
F4Ba33FaAE5Dcc6,Dixon Inc,https://esparza.com/,Guinea-Bissau,Cross-platform radical help-desk,2013,Utilities,7607
e9bebD37bfEE7BB,"Howe, Byrd and Owens",https://warner-mcconnell.com/,Australia,Pre-emptive reciprocal application,2010,Financial Services,7597
94DB68A1DddE86f,Cortez-Gibson,http://levine.net/,Singapore,Cross-platform homogeneous capability,2006,Furniture,7581
2e9EeB3CB58AfCD,Mejia Inc,http://bolton.com/,Cote d'Ivoire,Persistent stable workforce,1972,Luxury Goods / Jewelry,7578
2aA7CEfa23acc4b,"Jarvis, Patrick and Farmer",http://gonzales.com/,Sri Lanka,Persevering context-sensitive capacity,1987,Warehousing,7563
ee1Adb78478Bf80,Logan-Chen,https://sheppard.com/,Burkina Faso,De-engineered modular throughput,1996,Industrial Automation,7532
0baed0CcD09B002,Bartlett and Sons,http://barrett.biz/,Macao,Intuitive asynchronous interface,2020,Aviation / Aerospace,7529
df66E70fAE1aa5d,Barnett-Randolph,http://donaldson.com/,Algeria,Centralized 24hour adapter,1998,Automotive,7518
7AAa6F43E615F0F,Donovan-Carson,http://simpson-herring.com/,Pakistan,Re-engineered explicit approach,2013,Human Resources / HR,7498
F86a2ca7a4def88,King Inc,https://love.info/,French Southern Territories,Phased logistical project,2013,Real Estate / Mortgage,7464
A9BD11dd18Efe77,Petty Ltd,https://berg.org/,Sao Tome and Principe,Future-proofed non-volatile open architecture,2013,Business Supplies / Equipment,7455
91fC21F3fF0C6A4,Rollins-Meyer,https://www.rosales-stark.com/,Egypt,Phased foreground Graphical User Interface,1996,Biotechnology / Greentech,7454
cA9D6b6FDefC6B8,"Cummings, Woodard and Wiley",http://www.blackburn-cochran.com/,Western Sahara,Multi-lateral needs-based concept,2006,Wine / Spirits,7436
7Ff02e57F063f64,Miranda Group,https://www.wong.net/,Vietnam,Reactive upward-trending project,1995,Business Supplies / Equipment,7429
A4c0C42A1ebE6e4,"Mcclain, Tucker and Mills",http://vaughn-malone.com/,Guyana,Monitored mission-critical definition,2020,Museums / Institutions,7429
DCc0EfbDF7B06D3,Spence-Tran,http://andrews.net/,United States of America,Open-architected foreground flexibility,1996,Package / Freight Delivery,7426
9FfF9F0Fd2dCAba,Mays-Beasley,http://carter.biz/,Montenegro,Decentralized content-based alliance,1972,Publishing Industry,7397
BdE60A0ba20f8EC,"Bean, Hudson and Velasquez",http://kramer.com/,Saint Barthelemy,Down-sized tangible alliance,2001,Writing / Editing,7395
1deca49C981ED6C,"Ferguson, Frost and Estrada",http://www.cooper-madden.com/,Sierra Leone,Intuitive system-worthy projection,2001,Dairy,7383
4255E3e4ACf7ABF,Pearson-Fletcher,https://www.duffy.net/,Bolivia,Assimilated dedicated encoding,1987,Consumer Services,7374
D32a80Fda087d06,Hood Ltd,https://www.ferguson.net/,Norway,Secured leadingedge groupware,2009,Plastics,7370
eaa4e1Cf00eE3C2,Wilkins LLC,http://www.ford.com/,Bouvet Island (Bouvetoya),Mandatory dedicated customer loyalty,1990,Sporting Goods,7349
22F15Be620aA6aE,Foster Inc,http://mcpherson-ray.com/,France,Enterprise-wide well-modulated parallelism,1981,Legislative Office,7348
8b6cbF8AC0c123e,Boyd Group,https://blair.info/,Moldova,Multi-channeled bandwidth-monitored system engine,1995,Medical Equipment,7344
039649AF41D4B93,"Riddle, Woodard and Lara",https://www.crane.org/,Saint Kitts and Nevis,Open-architected dedicated knowledge user,1975,Information Technology / IT,7338
2eaA3c5D6CC37B9,Schneider-Elliott,https://molina.com/,Bahamas,Synchronized zero administration core,2021,Supermarkets,7306
A5FFB6afd24D2Eb,"Horne, Cherry and Santana",http://bishop.com/,Azerbaijan,Networked executive customer loyalty,1981,Financial Services,7298
62C64FB9dcD9ce5,George Ltd,https://www.sheppard.com/,Niger,Devolved client-server hub,2015,Real Estate / Mortgage,7296
50D48830dc9A8ac,Soto-Perry,http://www.hester-gibson.com/,Antigua and Barbuda,Phased content-based archive,1992,Professional Training,7286
bdEfE00e9e5a235,"Roth, Rojas and Mora",https://villarreal.com/,Mauritania,Virtual uniform open system,2007,Law Practice / Law Firms,7262
BFa9a7D5cd3Ea2c,Lowe LLC,https://padilla-gardner.info/,American Samoa,Right-sized zero tolerance archive,1971,Political Organization,7249
3dc422C0ac77DE1,"Ford, Patel and Singleton",http://cook.biz/,Iraq,Centralized intangible knowledge user,2011,Defense / Space,7245
AfCBE39D8b0b2f6,Bolton-Odom,http://duncan.com/,Botswana,User-centric reciprocal support,1979,Utilities,7241
C087578943F19e4,Murillo-Woods,http://www.graves-rocha.net/,Bolivia,Upgradable bottom-line artificial intelligence,1981,Food / Beverages,7222
7777Bb883C34976,Padilla and Sons,http://www.reeves.com/,Malaysia,Cross-platform radical function,1998,Media Production,7222
A6fBFF338EF6daF,Duncan-Bradshaw,https://lawson-douglas.com/,Oman,Multi-tiered intermediate process improvement,1998,Wine / Spirits,7209
7adE1D82D2AC863,Ochoa-Mason,http://calderon.biz/,Antarctica (the territory South of 60 deg S),Implemented systemic protocol,2011,Biotechnology / Greentech,7205
Db82Eaf8e7A59AF,Hess-Shelton,http://www.hendricks-rodgers.org/,British Indian Ocean Territory (Chagos Archipelago),Multi-layered user-facing middleware,2014,Consumer Electronics,7188
DDCe8F6ec509eFD,Wiley-Mcdaniel,https://www.mcmahon.com/,Korea,Public-key cohesive product,1993,Furniture,7175
CFDC39F4995fBac,Mann-Hobbs,https://arias.com/,Sri Lanka,Up-sized user-facing frame,1995,Packaging / Containers,7171
dfED388E08b676F,Kent-Nolan,http://www.sweeney.biz/,Indonesia,Advanced zero tolerance success,2007,Oil / Energy / Solar / Greentech,7161
F9A0D3AD04Fd9Fe,Mccann LLC,https://www.duran.com/,Malaysia,Self-enabling 24hour firmware,2009,Maritime,7152
6bDeEB7334ec8A1,Graves LLC,https://marquez.com/,Cambodia,Reverse-engineered mission-critical extranet,2013,Plastics,7150
bF3cbd862dd99e7,"Cordova, Huerta and Barry",https://www.hamilton.com/,Saint Martin,Enhanced bottom-line service-desk,1983,Research Industry,7118
acc4b161ae09e3E,Kerr PLC,https://reese.biz/,Germany,Persevering cohesive intranet,1993,Animation,7096
F56155A0A9cE693,Cole-Gordon,http://bauer.biz/,Bahrain,Distributed local implementation,2017,Furniture,7082
e9A2CFF3Ad949dF,"House, Luna and Obrien",http://braun.net/,Saint Helena,Configurable even-keeled Local Area Network,1971,Tobacco,7071
F7D126ABdBA0CB9,"Freeman, Robbins and Joseph",https://www.choi-mcmahon.com/,Falkland Islands (Malvinas),Re-engineered 24hour matrix,1993,International Affairs,7067
f331451EebE6A36,Bird and Sons,http://kramer.com/,Nepal,Enterprise-wide secondary data-warehouse,1977,Biotechnology / Greentech,7050
A4fECc8Bb7afF7B,Fritz Ltd,http://padilla-morales.net/,Kazakhstan,De-engineered intangible protocol,1975,Graphic Design / Web Design,7020
AB2eA15d98b6BD4,"Strickland, Gray and Jensen",http://kerr.info/,Israel,Team-oriented fresh-thinking knowledge user,1987,Performing Arts,7020
8ae1CfdE8B9d2fe,Charles Inc,https://matthews.info/,New Zealand,Digitized client-driven concept,2011,Utilities,7014
5E2BB2DAcE9511e,Whitaker Group,https://koch-andrews.com/,Chad,Open-source zero administration approach,2005,Computer Software / Engineering,7007
CCD85e8579f9c7E,"Hood, Evans and Waters",https://www.lowery.com/,Austria,Cloned bottom-line circuit,2006,Medical Equipment,6998
0d0C11AFF8A6A8C,Moyer-Benson,http://ramirez.com/,Zambia,Managed systemic interface,1985,Wireless,6993
2F31EddF2Db9aAE,Love-Palmer,https://kramer.com/,Denmark,Optimized optimizing moderator,2010,Management Consulting,6991
66A20e88e4aF33E,"Vazquez, Mendez and Morris",http://www.mccullough-robbins.com/,United Arab Emirates,Pre-emptive zero-defect workforce,1981,Fundraising,6978
795195c9db5E1c0,Cline-Heath,http://www.walter.net/,Chad,Fundamental national data-warehouse,2020,Computer Networking,6977
55BedDB39244a34,"Franklin, Parsons and Mccoy",https://blackwell.info/,Mozambique,Stand-alone client-driven orchestration,2004,Textiles,6962
9dCfc8838153DfD,Saunders-Fitzgerald,http://banks.com/,Zimbabwe,Cloned solution-oriented utilization,1979,Think Tanks,6956
c6A9ED6D253b628,"Curry, Villa and Bauer",https://www.hoffman-hancock.info/,Wallis and Futuna,Monitored national monitoring,1970,Motion Pictures / Film,6953
a6Bc77d5cE07c7B,Parker Ltd,https://www.burch.org/,Christmas Island,User-friendly human-resource core,2009,Accounting,6947
f8e394bbAbDB0B5,"Huerta, Macdonald and Olson",http://byrd.com/,Heard Island and McDonald Islands,Fully-configurable fresh-thinking core,2001,Primary / Secondary Education,6932
a98cb22E83AEc1a,"Yates, Hines and Cohen",http://cooley.com/,Hungary,Pre-emptive object-oriented website,2002,Computer / Network Security,6926
94122A41A8a8481,"Charles, Velazquez and Woods",http://wilkins.org/,Korea,Function-based asynchronous firmware,2010,Cosmetics,6922
Fde4aFfcEEE8F58,Livingston-Short,http://www.schaefer-skinner.com/,Bahamas,Total zero tolerance model,1973,Warehousing,6921
9C9AD5abae300F4,"Lin, Rasmussen and Graves",http://www.evans-graham.com/,Bahrain,Future-proofed 24hour access,1997,Business Supplies / Equipment,6903
F8efFDd1fE6cfC0,Harding Inc,http://www.roach-best.net/,Pakistan,Profit-focused hybrid emulation,1986,Events Services,6891
B69FbB8d50E9aBC,"Sheppard, Gould and Boyd",http://atkinson.com/,Malawi,Persevering optimizing time-frame,1971,Legal Services,6877
95eC7F1C0C5a9F5,"Daniels, Whitney and Valenzuela",https://sosa.com/,Russian Federation,Face-to-face foreground initiative,1988,Human Resources / HR,6869
Ab2c152D2c10fA1,Montoya Group,http://www.henderson.net/,Micronesia,Progressive dedicated knowledge user,1970,Medical Equipment,6865
3A3d7C279Ef39ed,"Parsons, Bishop and Joseph",https://www.arellano.com/,Colombia,User-friendly bottom-line portal,2014,Shipbuilding,6864
E84A904909dF528,Liu-Hoover,http://www.day-hartman.org/,Western Sahara,Ergonomic zero administration knowledge user,1980,Online Publishing,6852
E1DD58a2ceD2812,Koch Group,https://www.mendoza.com/,Croatia,Progressive upward-trending flexibility,1994,Government Relations,6847
B052E13Ef7e952A,"Castaneda, Floyd and Mcdaniel",http://www.fuentes.com/,Nigeria,Reverse-engineered uniform firmware,2011,Airlines / Aviation,6844
b40e9aBb87c7a77,Mcconnell-Ballard,http://www.barajas.biz/,Somalia,Versatile tangible hub,1984,Ranching,6843
4F223d5C80A096D,Huang-Ochoa,http://www.rosales.com/,Guadeloupe,Automated explicit benchmark,2008,Apparel / Fashion,6839
e013D0D642FBfdc,Romero LLC,http://www.cruz-turner.biz/,United Kingdom,Intuitive 3rdgeneration Graphic Interface,1990,Investment Management / Hedge Fund / Private Equity,6827
3aECBE853D893db,"Glenn, Savage and Ewing",https://www.guerra-gillespie.org/,French Southern Territories,Programmable actuating application,1981,Animation,6826
9e9ec3BE1dED6D1,"Daniels, Hester and Spence",http://www.kent.com/,Latvia,Synergistic heuristic groupware,1980,Fishery,6822
BbA52b87BB6A32f,King Inc,https://www.fry.org/,Afghanistan,Digitized attitude-oriented approach,1985,Apparel / Fashion,6819
AACAdFaD1365DA3,Macias-Roth,http://buckley.com/,Hungary,Realigned empowering service-desk,1988,Defense / Space,6796
5B3567Fb3C8BB78,"Haas, Oliver and Osborn",http://lawson.com/,Mauritius,Inverse background forecast,1987,Import / Export,6789
3851f381Ea54d70,Trevino-Foley,https://baxter.com/,Canada,Enterprise-wide 6thgeneration parallelism,1973,Wine / Spirits,6765
9FB0F575EDa185e,Pham-Bond,https://www.vance.com/,Comoros,Multi-tiered grid-enabled flexibility,1987,Real Estate / Mortgage,6746
41EF2a0F35C4fA7,"Porter, Schaefer and Fields",http://colon.net/,Kazakhstan,Synchronized high-level throughput,2005,Graphic Design / Web Design,6742
bafeFC8C48EFD29,Sparks and Sons,https://www.delgado.com/,Moldova,Centralized user-facing adapter,1983,Staffing / Recruiting,6733
27420Ce389Eb0Ef,Jackson-Mueller,http://schneider.com/,Suriname,Programmable bandwidth-monitored middleware,1982,Financial Services,6715
7eeAadBEa1Fb554,Wolfe-Figueroa,http://delgado.com/,United Arab Emirates,Multi-layered value-added methodology,1999,Law Practice / Law Firms,6709
b7cBE6A9E79A56F,"Morales, Hinton and Gibbs",https://hudson.com/,Serbia,Seamless global utilization,2014,Museums / Institutions,6706
53Dc3Cb36Be137a,Oconnell-Ponce,https://www.pitts.com/,Uzbekistan,Inverse interactive task-force,1999,Alternative Dispute Resolution,6702
EdbbccC6FfB97Ec,Farmer-Paul,https://www.church-frederick.biz/,Mongolia,Quality-focused well-modulated Local Area Network,2002,Capital Markets / Hedge Fund / Private Equity,6681
5A3d438BD544b85,Thompson Ltd,http://www.berry.com/,Andorra,Extended 24/7 focus group,1980,Chemicals,6676
8CCaE37E4f5e4AA,"Meza, Morales and Booker",http://www.case.biz/,Slovenia,Quality-focused client-driven system engine,2014,Mining / Metals,6662
34148d45b1E681e,Drake PLC,https://meyer.com/,Maldives,Distributed foreground contingency,1972,Museums / Institutions,6654
Fd815e01cdD2f00,Finley-Lee,http://www.wright.com/,Mexico,Exclusive next generation definition,1985,Utilities,6652
67c2eeba523aCac,"Hahn, Cobb and Cline",https://www.gross-rivera.com/,Pitcairn Islands,Stand-alone high-level circuit,2014,Judiciary,6646
6eA03577Dc2F3C3,Collins Group,http://clay.info/,Andorra,Multi-lateral user-facing hierarchy,2002,Alternative Dispute Resolution,6644
bdF0C047E52CDC3,Reeves-Martinez,http://ali.com/,Germany,Pre-emptive systematic database,1974,Writing / Editing,6639
ca8e1DFBa7b1d8D,"Lewis, Frank and Pittman",https://www.wise-randall.com/,Central African Republic,Object-based user-facing parallelism,1985,Legislative Office,6628
a0Fe365BEfc1AaB,Davis-Dillon,http://quinn.com/,Dominican Republic,Synergized next generation intranet,2007,Computer / Network Security,6607
EaF5Ae0FCBCB4dD,Macdonald PLC,http://www.huffman.com/,Ethiopia,Progressive hybrid complexity,1975,Events Services,6603
B8A269B56C88826,"Meadows, Howard and York",http://www.robertson.info/,Honduras,Configurable regional product,1997,Computer Games,6597
E62Dfc6a5f4D9AF,"Anderson, Swanson and Cummings",http://beard.com/,Lithuania,Fully-configurable dynamic framework,2002,Wholesale,6596
4dbcfb13CF62f8F,"Ayers, Pierce and Vang",http://www.durham.com/,Bahamas,Profit-focused tertiary access,1974,Professional Training,6594
0ADEd4af925C9ec,"Mcdonald, Jacobson and Fischer",http://www.bruce.biz/,Czech Republic,Self-enabling radical utilization,1975,Outsourcing / Offshoring,6572
e5CEc38aa9A580b,Bullock Group,https://medina-bernard.com/,Turkmenistan,Public-key scalable conglomeration,1998,Wine / Spirits,6547
0600c95D0e0BaE2,"Ali, Thomas and Steele",https://weeks.com/,Lithuania,Open-architected multi-state groupware,1996,Gambling / Casinos,6541
5ee52CbB3A2ea9d,Byrd LLC,http://ramirez.com/,Palau,Object-based 5thgeneration synergy,1981,Mental Health Care,6537
5BaCE1cFEFB3274,"York, Harding and Huerta",https://www.jennings-wade.info/,Vietnam,Virtual methodical conglomeration,2021,Public Relations / PR,6532
F40fC5a648c53F3,Glover-Castaneda,https://www.romero.com/,Aruba,Ergonomic national productivity,1990,Research Industry,6515
33B92c3FcCbb89a,Oconnell-Leonard,https://maynard.com/,Malta,Reduced intangible function,1998,Program Development,6499
f1D6ccC4fa590a1,Horn-Faulkner,https://irwin.com/,Slovenia,Triple-buffered attitude-oriented process improvement,2014,Medical Equipment,6495
Ad103986bdbe6ad,Stuart Ltd,http://russell.com/,Azerbaijan,Future-proofed high-level Internet solution,2021,Luxury Goods / Jewelry,6472
4cFce7fAB148cc8,"Peck, Rogers and Conrad",https://banks.com/,Greece,Versatile optimal knowledgebase,1987,Mechanical or Industrial Engineering,6458
BFb54211e7fA5BD,"Sanchez, Berger and Richard",https://www.jacobs-barnes.com/,Switzerland,De-engineered object-oriented hub,1977,Translation / Localization,6443
ea29baFAc0Fd400,Thornton-Houston,http://yates.com/,Honduras,Down-sized 24hour emulation,1983,Publishing Industry,6436
083a6D31f06e9Ef,Winters-Mayo,http://www.hays-mcneil.com/,Morocco,Managed cohesive neural-net,1971,Computer Networking,6429
B715731fa4a6CDB,"Rojas, Andrews and Odonnell",http://www.wells-harrison.org/,Algeria,Right-sized explicit migration,1981,Library,6429
Cf0a4665dBF7eA5,Morrison-Cooley,http://sims.com/,Qatar,De-engineered encompassing hub,2018,Maritime,6425
944bb87Fc8A613e,Richmond-Conley,https://randall.com/,Bolivia,Exclusive 4thgeneration capacity,1997,Political Organization,6412
44b829ad3ABbDF3,Middleton PLC,http://www.mcguire.com/,Benin,Profound impactful adapter,1994,Medical Practice,6412
3a4Fd31d16d2A42,Garner-Hoover,https://www.armstrong-burch.com/,Indonesia,Fundamental 4thgeneration productivity,1981,Information Services,6405
3899d932C149E5C,Macias-Patton,https://www.ferguson-bradford.com/,Brazil,Profit-focused mobile analyzer,1990,Wholesale,6403
788906D5EDDABE1,Lucero-Trevino,https://palmer.com/,Iran,Extended bandwidth-monitored monitoring,2018,Think Tanks,6403
Df5EA12EAde4A57,Davies-Fox,https://www.kramer.net/,Philippines,Devolved heuristic standardization,1982,Program Development,6397
Ba4Ed05a7e04feC,"Mcintyre, Williams and Gray",http://bass.com/,Germany,Self-enabling asynchronous budgetary management,2012,Industrial Automation,6366
F32aed40d49dE04,Crane PLC,https://gregory.biz/,Gibraltar,Automated content-based extranet,2015,Information Services,6357
e4ECA9070d0ffad,"Bray, Boyle and Morrison",http://warner.org/,Tunisia,Multi-layered tangible framework,1978,Investment Banking / Venture,6353
23A677cECd2bcac,Martinez-Boone,https://mckee.com/,Ecuador,Synergistic systematic analyzer,2004,International Affairs,6346
4CD5cC59B0AA9c5,"Bird, Ferrell and Hughes",http://mooney.com/,Bulgaria,Distributed national time-frame,2005,Cosmetics,6336
6BaaCFac3AFCe96,"Levy, Carey and Carpenter",http://www.rasmussen.com/,Moldova,Reverse-engineered content-based complexity,2013,Real Estate / Mortgage,6334
32Dffb53469eA98,"Yates, Massey and Ortiz",http://www.sutton-lambert.com/,Christmas Island,Secured leadingedge infrastructure,1995,Computer Hardware,6330
84eE8fCfEAbB3E1,Bush and Sons,https://www.harrison-cantrell.info/,Tunisia,Stand-alone holistic throughput,2015,Railroad Manufacture,6321
5b62b5165B3A0C8,"Rice, Norton and Stein",http://mccann.info/,Cook Islands,Visionary scalable ability,2007,Transportation,6307
3Ae10048c7C56ea,Humphrey PLC,https://gallegos.com/,Saint Lucia,Up-sized upward-trending process improvement,2009,Computer / Network Security,6285
8F55cD0AD6DCdE2,Francis-Frazier,https://roberts.biz/,Christmas Island,Fully-configurable encompassing methodology,2015,Gambling / Casinos,6202
244f2BdbB45DCBc,Wiley and Sons,https://huerta.com/,Antigua and Barbuda,Upgradable real-time encoding,1994,Transportation,6177
C398a370CcfE05F,Cook-Dunn,http://www.dunn.info/,Gibraltar,Re-contextualized secondary algorithm,2009,Marketing / Advertising / Sales,6176
3EdC8528529B302,Hunt LLC,https://arroyo-liu.com/,Congo,Ameliorated contextually-based paradigm,1972,Religious Institutions,6176
9FBF69aa2D9AAF1,"Ballard, Goodman and Boone",http://berger-chen.info/,Iran,Multi-layered zero administration ability,2019,Logistics / Procurement,6165
231DABce88aD4eD,Horn-Pace,http://bernard-trujillo.biz/,Vanuatu,Future-proofed system-worthy hub,1998,Outsourcing / Offshoring,6162
D3e19C1C996C3bB,Merritt-Mcgrath,http://odonnell.biz/,Egypt,Monitored value-added database,1988,Maritime,6151
A3A8d60aF487c75,Harris-Clarke,http://www.reilly.com/,Botswana,Cross-platform client-server interface,2016,Publishing Industry,6150
bcAaC3ADb10bF1C,Knapp-Maldonado,https://www.kennedy.com/,Christmas Island,Cross-group national circuit,2013,E - Learning,6143
30aA99FBfaF7Ae0,"Coffey, Pope and Sims",https://www.webb-chaney.com/,Cuba,Operative leadingedge model,2013,Pharmaceuticals,6139
630Effa39F6F50d,Stewart Group,https://bradford.biz/,Isle of Man,Diverse 4thgeneration access,2016,Media Production,6085
E5De6aCBD50d1B0,"Olsen, Oneal and Benton",https://www.perez.net/,Maldives,Triple-buffered asynchronous extranet,1983,International Affairs,6078
ADbc3dc697ebef9,Cardenas-Huffman,http://riddle-mccall.com/,Saint Lucia,Re-engineered 24hour solution,1982,Luxury Goods / Jewelry,6041
a51fFFfdB11CfF2,Murphy-Esparza,http://www.melton-carson.biz/,Bolivia,Reduced systematic forecast,2012,Venture Capital / VC,6030
Ce017B247DB1EDE,Mcmahon and Sons,http://copeland.com/,British Virgin Islands,Re-contextualized 24hour secured line,1997,Medical Practice,6029
7ee2A52B24ae6Eb,Tyler-Holland,https://www.hampton-swanson.com/,Madagascar,Polarized systematic paradigm,1970,Banking / Mortgage,6020
89adcc6B8715b23,"Joyce, Turner and Bolton",http://www.long.com/,Bhutan,Balanced bi-directional capability,1975,Online Publishing,6016
624F5E1C3C0f0a0,"Pierce, Gallegos and Knox",https://www.neal.net/,France,Synchronized real-time conglomeration,2016,Fine Art,6016
72B67eeb42B2c4e,Mcclain Ltd,http://www.long.com/,United Kingdom,Innovative disintermediate hub,1993,Information Technology / IT,6001
D6a73E79088828f,Sanford Inc,http://www.livingston.com/,Sao Tome and Principe,Function-based leadingedge structure,1997,Professional Training,5994
61dA9fefC27c3a9,Ayers-Hernandez,https://case.com/,India,Cross-group logistical success,1992,Higher Education / Acadamia,5982
E67E4dEad7f7aC8,Ayala-Bradshaw,https://www.bishop.com/,Central African Republic,Object-based contextually-based system engine,2000,Library,5977
95E2fc82Ca04a9b,"Escobar, Gilmore and Mahoney",http://www.carey.com/,Kazakhstan,Open-architected global Local Area Network,1988,International Trade / Development,5975
5ddEF3d40fd0dd5,Maddox Ltd,https://www.cox.org/,Malawi,Advanced contextually-based task-force,2011,Individual / Family Services,5972
5B77F60C3Cc6ae6,"Barnett, Ho and Shah",http://www.joyce-ochoa.com/,Belgium,Cross-group user-facing middleware,1983,Information Services,5971
E3b3A0E923874Cf,Hall Group,http://choi.org/,Greenland,Persevering tertiary database,1982,Construction,5969
31aeBa479968aF3,"Dunn, Dillon and Blair",http://jensen-romero.com/,Belgium,Horizontal 24hour open system,2015,Printing,5962
062Fdfdc5aa37F9,"Wilkinson, Pope and Roach",http://sawyer.biz/,Jamaica,Fully-configurable bifurcated orchestration,2009,Fine Art,5959
f6CfeBBa4ACd3CA,Edwards Ltd,http://www.davidson-freeman.org/,Ghana,Universal systemic intranet,1997,Military Industry,5943
4D17Fa0d985e0d7,"Mcpherson, Cameron and Whitehead",http://www.schneider.com/,Azerbaijan,Balanced zero tolerance extranet,1978,Wine / Spirits,5942
2FaDD3Ac0fB4052,"Bowman, Walters and Sawyer",https://www.drake-calhoun.com/,Yemen,Exclusive client-server collaboration,1988,Think Tanks,5926
6C5ccdEf7e39310,Everett-Frederick,https://www.wong.info/,Palau,Stand-alone web-enabled utilization,2002,Executive Office,5890
BbB37875dD4E34b,Evans-Hardin,http://reed.biz/,Luxembourg,Persistent non-volatile moderator,2002,Investment Management / Hedge Fund / Private Equity,5866
2D66c5BC84d36bf,"Estes, Poole and Henderson",http://www.humphrey.com/,Italy,Synergized demand-driven functionalities,1981,Consumer Goods,5842
6E2Fa3d40FdfDEC,Hobbs-Johnston,http://www.proctor.com/,Guinea-Bissau,Multi-channeled uniform task-force,1994,Program Development,5840
dbD7B6dE8572A5e,Robles-Kane,https://rhodes.biz/,Taiwan,Public-key scalable software,2009,Mental Health Care,5835
8C61B6AD9F43f7d,Pruitt-Levy,http://www.flowers.com/,Zambia,Triple-buffered scalable capacity,1998,Wholesale,5827
56bDd78BBCdcca4,Novak PLC,http://www.lozano.com/,Bouvet Island (Bouvetoya),Mandatory attitude-oriented data-warehouse,1973,Non - Profit / Volunteering,5821
C82Cee1027A60E8,Powell Group,https://mcclain.com/,Kenya,Digitized fresh-thinking throughput,2013,Chemicals,5802
B4Af39eFb508DEE,Mccann-Mcguire,http://www.fleming-farrell.org/,Lesotho,Front-line client-driven project,1970,Legal Services,5800
