auctionid,bid,bidtime,bidder,bidderrate,openbid,price
8215571039,122.5,2.251991,lambonius1,0,50,150
8215571039,130,2.958657,lambonius1,0,50,150
8215571039,140,2.995567,analogkidd99,0,50,150
8215571039,135,2.997234,lambonius1,0,50,150
8215571039,150,2.997442,lambonius1,0,50,150
8215571039,150,2.998437,analogkidd99,0,50,150
8215582227,60.1,1.796019,o_dogg1305,0,60,152.5
8215582227,70,2.174097,braysbae,7,60,152.5
8215582227,85,2.174861,tera2008,0,60,152.5
8215582227,72,2.18691,o_dogg1305,0,60,152.5
8215582227,75.5,2.187164,o_dogg1305,0,60,152.5
8215582227,78,2.1875,o_dogg1305,0,60,152.5
8215582227,110,2.688553,tanktabooda,9,60,152.5
8215582227,90,2.804352,ajrao,9,60,152.5
8215582227,130,2.835127,sand823bellsouthnet,20,60,152.5
8215582227,130,2.88375,tanktabooda,9,60,152.5
8215582227,140,2.883866,tanktabooda,9,60,152.5
8215582227,140,2.899433,sand823bellsouthnet,20,60,152.5
8215582227,150,2.911285,tanktabooda,9,60,152.5
8215582227,145,2.999479,ultimatum_man,2,60,152.5
8215582227,150,2.999572,ultimatum_man,2,60,152.5
8215582227,152.5,2.999664,ultimatum_man,2,60,152.5
8215605488,5,0.78912,bigdaninohio,20,0.99,61
8215605488,15,0.975255,suomi111,661,0.99,61
8215605488,20,1.057523,dani_n_adam,4,0.99,61
8215605488,25,1.210197,locell08,29,0.99,61
8215605488,30,1.214572,edleob,7,0.99,61
8215605488,30,2.045891,coronerra,41,0.99,61
8215605488,40,2.067245,smf12,79,0.99,61
8215605488,55.99,2.067442,ddm1949,295,0.99,61
8215605488,50,2.234514,cindyh33,19,0.99,61
8215605488,60,2.234595,cindyh33,19,0.99,61
8215605488,61,2.586493,pgauctions,16,0.99,61
8215610555,5.01,0.01287,eemiller007,30,5,35.09
8215610555,20.51,0.629537,kevinb2999,8,5,35.09
8215610555,6.52,2.112303,jenkins201,6,5,35.09
8215610555,10.01,2.112523,jenkins201,6,5,35.09
8215610555,15,2.139595,martinb314,25,5,35.09
8215610555,20,2.140069,martinb314,25,5,35.09
8215610555,21,2.273796,pose_4_life,16,5,35.09
8215610555,25,2.385382,misschicfashion,13,5,35.09
8215610555,28,2.385648,misschicfashion,13,5,35.09
8215610555,31,2.385764,misschicfashion,13,5,35.09
8215610555,32.01,2.385926,misschicfashion,13,5,35.09
8215610555,32,2.592141,minipc1,104,5,35.09
8215610555,35.09,2.973264,bebawl,114,5,35.09
8215610555,35,2.993472,wringo357,80,5,35.09
